34 
88, 48
64, 77
41, 62
25, 65
95, 13
45, 81
81, 26
70, 32
40, 37
44, 50
18, 24
13, 96
64, 95
14, 90
11, 92
73, 66
68, 22
63, 86
29, 31
69, 93
77, 36
57, 42
69, 42
39, 34
56, 78
21, 95
16, 28
65, 38
5, 29
47, 31
74, 62
42, 42
100, 69
57, 97
71, 49
6, 15
58, 41
30, 82
86, 3
78, 60
18, 78
78, 74
89, 92
76, 52
63, 37
42, 18
9, 27
82, 43
49, 56
66, 68
61, 100
20, 57
91, 44
84, 88
32, 45
6, 88
15, 17
33, 17
48, 81
63, 53
4, 28
43, 31
63, 32
85, 45
44, 58
35, 60
3, 20
90, 17
82, 57
69, 57
94, 21
2, 66
18, 19
30, 45
22, 46
34, 29
53, 65
38, 61
58, 87
48, 57
86, 70
60, 12
19, 4
75, 59
48, 65
100, 84
24, 49
34, 66
15, 47
15, 27
54, 36
93, 4
79, 30
92, 9
26, 72
3, 44
62, 13
9, 9
82, 34
93, 87
75, 32
79, 40
40, 77
80, 15
18, 66
77, 66
33, 39
78, 6
75, 25
74, 29
78, 1
63, 1
54, 36
14, 68
77, 34
37, 23
22, 47
55, 23
43, 59
14, 42
65, 21
12, 61
15, 98
13, 52
49, 69
78, 51
83, 26
47, 79
65, 97
53, 66
8, 18
44, 93
57, 85
16, 80
13, 35
60, 12
36, 40
43, 79
16, 76
92, 25
49, 63
78, 88
46, 44
76, 56
50, 43
72, 9
26, 45
90, 91
3, 17
71, 66
41, 7
52, 95
15, 47
12, 66
13, 56
98, 66
2, 65
43, 7
9, 73
69, 34
96, 8
46, 79
39, 30
94, 39
83, 87
32, 16
34, 59
39, 17
16, 84
45, 26
36, 52
79, 6
19, 55
54, 11
29, 29
41, 41
48, 59
28, 37
90, 13
6, 60
21, 5
19, 44
86, 18
49, 23
87, 94
51, 22
56, 85
28, 60
23, 11
90, 43
80, 95
43, 58
53, 15
50, 85
76, 92
76, 9
5, 82
16, 45
82, 39
60, 79
8, 11
55, 18
87, 11
15, 78
24, 88
93, 16
30, 70
75, 10
88, 30
22, 29
93, 28
68, 55
19, 14
95, 78
42, 52
27, 89
68, 53
27, 100
82, 14
18, 40
17, 60
46, 8
98, 28
6, 99
28, 88
87, 78
36, 70
36, 41
7, 37
47, 61
54, 1
30, 22
63, 31
51, 20
70, 95
47, 3
45, 39
91, 14
99, 57
5, 11
29, 20
68, 43
85, 87
26, 33
60, 38
35, 68
26, 36
86, 28
71, 48
92, 67
49, 38
95, 42
74, 37
61, 65
59, 16
98, 47
85, 50
58, 12
16, 82
13, 53
66, 3
60, 64
6, 30
86, 83
17, 9
55, 16
54, 63
96, 14
46, 85
86, 55
80, 40
59, 51
82, 10
37, 57
60, 30
66, 87
35, 42
60, 59
5, 50
49, 6
51, 8
95, 40
30, 91
69, 74
46, 61
60, 31
4, 63
76, 91
25, 2
81, 99
32, 92
83, 18
97, 20
70, 90
29, 74
66, 14
82, 45
98, 96
41, 50
41, 29
57, 72
54, 43
93, 37
19, 56
21, 7
8, 100
23, 18
52, 42
77, 52
61, 16
30, 23
51, 18
45, 78
98, 37
46, 11
15, 38
18, 26
22, 98
70, 28
37, 19
86, 6
64, 19
84, 89
45, 80
61, 60
4, 39
29, 67
1, 88
49, 16
72, 28
14, 76
22, 81
87, 5
89, 71
68, 42
25, 64
36, 69
66, 26
25, 94
86, 31
92, 87
64, 79
37, 49
67, 52
25, 32
53, 64
55, 27
80, 79
73, 90
56, 95
36, 64
49, 40
96, 88
69, 72
23, 95
51, 23
69, 18
10, 96
82, 4
1, 7
75, 65
45, 17
13, 1
64, 38
45, 76
16, 94
8, 16
16, 71
97, 18
50, 67
61, 5
81, 7
69, 64
66, 69
42, 43
52, 2
4, 45
95, 22
9, 29
88, 51
14, 57
16, 13
26, 19
82, 24
82, 68
35, 87
90, 8
68, 31
89, 13
5, 7
33, 19
6, 99
75, 78
49, 44
