58 
80, 38
30, 75
33, 47
16, 34
17, 25
88, 11
58, 13
77, 93
44, 32
54, 52
64, 85
97, 67
95, 42
61, 47
48, 62
83, 50
15, 56
55, 15
26, 21
1, 42
10, 89
77, 89
35, 87
52, 63
67, 18
49, 70
96, 13
61, 12
68, 67
91, 47
3, 43
87, 68
39, 83
39, 64
17, 27
41, 9
60, 27
36, 1
22, 38
62, 54
100, 34
2, 61
90, 98
53, 33
30, 60
2, 28
38, 81
77, 60
48, 45
15, 50
61, 78
51, 35
7, 3
10, 49
7, 90
5, 34
91, 89
33, 19
18, 99
32, 13
29, 15
95, 23
63, 42
66, 24
90, 33
13, 89
31, 11
58, 83
54, 2
80, 87
90, 74
15, 70
35, 6
5, 76
4, 11
4, 9
54, 19
46, 93
41, 60
36, 74
65, 1
89, 46
16, 39
96, 96
18, 89
41, 16
66, 43
61, 8
23, 84
77, 99
92, 88
45, 62
41, 85
99, 64
90, 87
24, 37
43, 79
95, 80
96, 99
20, 42
