23, 35
2, 81
1, 68
39, 78
77, 13
48, 52
75, 50
12, 44
10, 28
8, 80
1, 91
17, 52
19, 36
97, 36
99, 83
64, 100
72, 91
49, 30
25, 90
24, 1
7, 71
61, 46
24, 69
77, 28
58, 80
96, 11
93, 62
100, 42
63, 97
33, 73
24, 83
53, 84
90, 41
17, 78
59, 62
33, 81
87, 4
89, 39
28, 72
48, 56
13, 67
53, 90
61, 10
87, 43
84, 3
32, 12
5, 87
10, 79
45, 28
50, 93
40, 78
45, 18
31, 73
21, 96
6, 25
26, 51
80, 89
91, 52
88, 65
95, 85
100, 91
62, 85
96, 9
67, 39
46, 86
54, 54
98, 9
88, 78
66, 55
30, 95
22, 5
23, 65
98, 1
66, 100
63, 9
43, 40
83, 68
94, 33
34, 42
9, 3
